flavor,size,product_description,ingredients,allergens,servings_per_containter,serving_size,calories_per_serving,calories_per_pint,total_fat_per_serving,total_fat_per_pint,total_fat_daily_value_per_serving,total_fat_daily_value_per_pint,saturated_fat_per_serving,saturated_fat_per_pint,saturated_fat_daily_value_per_serving,saturated_fat_daily_value_per_pint,trans_fat_per_serving,trans_fat_per_pint,trans_fat_daily_value_per_serving,trans_fat_daily_value_per_pint,cholesterol_per_serving,cholesterol_per_pint,cholesterol_daily_value_per_serving,cholesterol_daily_value_per_pint,sodium_per_serving,sodium_per_pint,sodium_daily_value_per_serving,sodium_daily_value_per_pint,total_carbohydrate_per_serving,total_carbohydrate_per_pint,carbohydrate_daily_value_per_serving,carbohydrate_daily_value_per_pint,dietary_fiber_per_serving,dietary_fiber_per_pint,dietary_fiber_daily_value_per_serving,dietary_fiber_daily_value_per_pint,total_sugars_per_serving,total_sugars_per_pint,includes_added_sugars_per_serving,includes_added_sugars_per_pint,daily_value_added_sugars_per_serving,daily_value_added_sugars_per_pint,protein_per_serving,protein_per_pint,protein_daily_value_per_serving,protein_daily_value_per_pint,vitamind_per_serving,vitamind_per_pint,vitamind_daily_value_per_serving,vitamind_daily_value_per_pint,calcium_per_serving,calcium_per_pint,calcium_daily_value_per_serving,calcium_daily_value_per_pint,iron_per_serving,iron_per_pint,iron_daily_value_per_serving,iron_daily_value_per_pint,potassium_per_serving,potassium_per_pint,potassium_daily_value_per_serving,potassium_daily_value_per_pint,vitamin_a,vitamin_a_daily_value_per_serving,category--Ice cream,category-Frozen Custard,category--Sherbert,category--Sorbet,category-Gelato,category-Churned,category--No Fat No Sugar,category--Reduced Fat,category--Gustafson's,category--Yogurt,category--Candy,category--Caramel,category--Chocolate,category--Cookies,category--Coffee ,category--Fruit,category--Fudge,category--Mint,category--Nuts,category--Vanilla
Churro,3 Gallon,Vanilla Cinnamon Ice Cream with a Cinnamon Swirl blended with Cinnamon Churro Pieces,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  OATMEAL CINNAMON SWIRL  [VANILLA FLAVORED COOKIE  CRUMB (ENRICHED FLOUR
{WHEAT FLOUR, NIACIN,  REDUCED IRON, THIAMINE  MONONITRATE, RIBOFLAVIN,  FOLIC ACID}, SUGAR, PALM AND  PALM KERNEL OIL, WHEY  PROTEIN CONCENTRATE, BUTTER
{CREAM, SALT}, NATURAL FLAVOR,  SALT, WHEY POWDER, SODIUM
BICARBONATE), PEANUT OIL,  POWDERED SUGAR {SUGAR,
STARCH}, COCONUT OIL,  NATURAL FLAVOR, SOY LECITHIN,
CINNAMON, SODIUM  BICARBONATE, SALT], CHURRO  PIECES [CANNOLI SHELLS (FLOUR
{UNBLEACHED HARD WHEAT  FLOUR, MALTED BARLEY FLOUR,  NIACIN, REDUCED IRON,
THIAMINE MONONITRATE,  RIBOFLAVIN, FOLICACID}, PALM
OIL, SUGAR, WHOLE EGGS,  WHITE VINEGAR, SALT, NATURAL  FLAVOR), COCONUT OIL, SUGAR,  CINNAMON, NATURAL FLAVOR,  SALT], CORN SYRUP, WHEY,  STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], NATURAL  FLAVOR, FLAVOR [VANILLA  EXTRACT, ARTIFICIAL FLAVOR],  SEA SALT. ","Eggs, Milk, Soy, Wheat",72,2/3 cup (97g),260,,16g,,21%,,10g,,50%,,0g,,0%,,25mg,,0%,,105mg,,0%,,27g,,0%,,0g,,0%,,20g,,0g,,0%,,0g,,0%,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,x,,,,,,x
Dump Truck,3 Gallon,Graham flavored Ice Cream with a crunchy Graham Cracker swirl and a Honeycomb Crunch,"NONFAT MILK_,  CREAM, BUTTERMILK, SUGAR,  GRAHAM CRACKER SWIRL  [GRAHAM CRACKER CRUMB  (UNBLEACHED UNENRICHED  WHEAT FLOUR, GRAHAM FLOUR,  SUGAR, PALM OIL, MOLASSES,  HONEY, SALT, BAKING SODA),  SOYBEAN OIL, POWDERED  SUGAR (SUGAR, CORNSTARCH),  COCONUT OIL, MONO AND  DIGLYCERIDES, SOY LECITHIN  (EMULSIFIER), SALT], GRAHAM  FLAVOR [CORN SYRUP, WATER,  SUGAR, MODIFIED CORN STARCH,  CONTAINS 2% OR LESS OF  ARTIFICIAL FLAVOR, CARAMEL  COLOR, MOLASSES, SALT,  YELLOW 5, YELLOW 6],  HONEYCOMBCRUNCH[COCONUT  OIL, SUGAR, CORN SYRUP,  HONEY, BAKING SODAAND SALT),  CORN SYRUP, WHEY, STABILIZER  [MONO & DIGLYCERIDES, GUAR  GUM, LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT.  ","Milk, Soy, Wheat",72,2/3 cup (97g),270,,16g,,21%,,9g,,45%,,0g,,0%,,25mg,,0%,,130mg,,0%,,30g,,0%,,0g,,0%,,22g,,0g,,0%,,0g,,0%,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,x,,,,,,
Banana French Toast,3 Gallon,Banana Bread flavored Ice Cream with a brown butter swirl and French Toast pieces,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  BANANAPUREE[SUGAR,BANANA  PUREE, WATER, LEMON JUICE  CONCENTRATE,NATURAL  FLAVOR], BROWN BUTTER SWIRL  [CORN SYRUP, SUGAR, WATER,  BROWN SUGAR, CORN STARCH,  NATURALFLAVOR,BUTTER  (CREAM, SALT), SALT, FRUIT JUICE  CONCENTRATE (COLOR),  CARAMEL COLOR], FRENCH  TOAST PIECES [POWDERED  SUGAR (SUGAR, CORN STARCH),  WAFFLE CONE PIECES  (UNBLEACHED WHEAT FLOUR,  SUGAR, SOYBEAN OIL, SOY  LECITHIN, SALT), COCONUT OIL,  SPICES, NATURAL FLAVOR, SOY  LECITHIN], COBBLER PIECES  [SUGAR, CORN SYRUP, WATER,  CINNAMON, NATURAL FLAVOR,  SALT, BUTTER (CREAM, SALT),  CORN STARCH], CORN SYRUP,  WHEY, STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT.  ","Milk, Soy, Wheat",72,2/3 cup (98g),230,,10g,,13%,,7g,,35%,,0g,,0%,,20mg,,0%,,95mg,,0%,,35g,,0%,,0g,,0%,,30g,,0g,,1%,,0g,,0%,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,x,,x,,,,
Lemon Cheesecake,3 Gallon,Lemon Cheesecake ice cream with Creamy Cheesecake Chunks and a Graham Cracker Ribbon,"NONFAT MILK, CREAM,  BUTTERMILK, SUGAR, CHEESECAKE CHUNKS  [CREAM CHEESE (PASTEURIZED MILK AND  CREAM, CHEESE CULTURE, SALT, CAROB BEAN  GUM, GUAR GUM, XANTHAN GUM), SUGAR,  GRAHAM CRUMB (ENRICHED FLOUR {WHEAT  FLOUR, NIACIN, REDUCED IRON, THIAMINE  MONONITRATE, RIBOFLAVIN, FOLIC ACID},  GRAHAM FLOUR, SUGAR, PALM OIL, MOLASSES,  HONEY, SALT, SODIUM BICARBONATE), LIQUID  WHOLE EGG, SOUR CREAM (CULTURED  PASTEURIZED LIGHT CREAM AND NONFAT MILK,  MICROBIAL ENZYME), PALM OIL, ENRICHED  FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON,  THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC  ACID), CORN STARCH, VANILLA EXTRACT,  SOYBEAN OIL, SOY LECITHIN (EMULSIFIER)],  GRAHAM CRACKER SWIRL [GRAHAM CRACKER  CRUMB (UNBLEACHED UNENRICHED WHEAT  FLOUR, GRAHAM FLOUR, SUGAR, PALM OIL,  MOLASSES, HONEY, SALT, BAKING SODA),  SOYBEAN OIL, POWDERED SUGAR (SUGAR,  CORNSTARCH), COCONUT OIL, MONO AND  DIGLYCERIDES, SOY LECITHIN (EMULSIFIER),  SALT], LEMON CHEESECAKE BASE [CORN  SYRUP, WATER,. NATURAL FLAVOR, CORN  STARCH, SODIUM CITRATE, LACTIC ACID, CITRIC  ACID, ANNATTO, SALT, TUMERIC (COLOR)],
CORN SYRUP, WHEY, STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM, LOCUST BEAN  GUM, CARRAGEENAN], SEA SALT. ","Milk, Soy, Wheat, Eggs",72,2/3 cup (102g),260,,15g,,19%,,89g,,40%,,0g,,0%,,30mg,,0%,,135mg,,0%,,30g,,0%,,0g,,0%,,23g,,0g,,0%,,0g,,0%,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,x,,x,,,,
Tropical Storm,3 Gallon,"Dark Chocolate ice cream swirled with Coconut flavored ice cream with Chocolate Covered Coconut pieces, Coconut Flakes and Chocolate Covered Almonds","NONFAT MILK,  CREAM, SUGAR, BUTTERMILK, CORN  SYRUP, DARK CHOCOLATE ALMONDS  [ALMONDS, DARK CHOCOLATE  (CHOCOLATE LIQUOR, SUGAR,  COCOA BUTTER, SOY LECITHIN
{EMULSIFIER}, VANILLA),
COTTONSEED OIL], COATED  COCONUT BITS [SUGAR, COCONUT,  COCONUT OIL, COCOA POWDER,  DEXTROSE, SALT, COCOA POWDER
PROCESSED WITH ALKALI, SOY  LECITHIN (EMULSIFIER)], SHREDDED  COCONUT [DESICCATED COCONUT,  SUGAR, WATER, SALT], WHEY,  COCOA PROCESSED WITH ALKALI,  STABILIZER [MONO & DIGLYCERIDES,  GUAR GUM, LOCUST BEAN GUM,  CARRAGEENAN], ARTIFICIAL FLAVOR,  STABILIZER [GUAR GUM, MONO &  DIGLYCERIDES, XANTHAN GUM,  POLYSORBATE 80, CARRAGEENAN],  SEA SALT.","Milk, Soy, Tree Nuts",72,2/3 cup (90g),220,,13g,,17%,,8g,,40%,,0g,,0%,,25mg,,0%,,65mg,,0%,,24g,,0%,,2g,,0%,,18g,,0g,,0%,,0g,,0%,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,x,,,,,,x,
Unicorn,3 Gallon,Pink Rainbow sherbet flavored ice cream swirled with blue vanilla flavored shimmer candy and a shimmery strawberry swirl,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  BLUE VANILLA CREAM FLAVORED  CANDY PIECES [SUGAR, CORN  SYRUP, WATER, PALM KERNEL  OIL, MICA, NATURAL FLAVOR,  TITANIUM DIOXIDE, SUNFLOWER  LECITHIN, BLUE 1 (COLOR)],  STRAWBERRY FLAVORED SWIRL  [SUGAR, WATER, CORN SYRUP,  CORN STARCH MODIFIED,  NATURAL AND ARTIFICIAL  FLAVORS, MICA, SALT, TITANIUM  DIOXIDE, CITRIC ACID, MALIC  ACID, RED 40 (COLOR)], CORN  SYRUP, WHEY, NATURAL  FLAVORS, STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], R.ED 40 (COLOR),  BLUE 1 (COLOR), SEA SALT.  ",Milk,72,2/3 cup (97g),210,,9g,,12%,,7g,,35%,,0g,,0%,,25mg,,0%,,70mg,,0%,,31g,,0%,,0g,,0%,,27g,,0g,,0%,,0g,,0%,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,,,,,x,,,,x
Firecracker,3 Gallon,Strawberry flavored ice cram with Pop Rock Candy,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  POPPING CANDY [WHITE COATING  (SUGAR, VEGETABLE OIL{PALM  KERNEL OIL AND HYDROGENATED  PALM KERNEL OIL}, REDUCED  MINERAL WHEY, WHOLE MILK  SOLIDS, NONFAT DRY MILK, SOY  LECITHIN {EMULSIFIER}, SALT),  CRACKLING CANDY (SUGAR,  LACTOSE,GLUCOSE,CARBON  DIOXIDE), COCONUT OIL, BLUE 1  LAKE, RED 40 LAKE], CORN  SYRUP, STRAWBERRY SAUCE  [CORN SYRUP, WATER, MODIFIED  CORN STARCH, SUGAR, NATURAL  AND ARTIFICIAL FLAVORS, CITRIC  ACID, CELLULOSE GUM, RED 40  (COLOR), BLUE 1 (COLOR)], WHEY,  STABILIZER [MONO AND  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT","Milk, Soy",72,2/3 cup (94g),220,,12g,,15%,,9g,,45%,,0g,,0%,,25mg,,0%,,70mg,,0%,,27g,,0%,,0g,,0%,,23g,,0g,,0%,,0g,,0%,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,,,,,x,,,,
Strawberry Rhubarb Pie,3 Gallon,Vanilla flavored ice cream with a Strawberry Rhubarb ribbon blended with a Graham flavored crunch,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  STRAWBERRY RHUBARB SWIRL  [CORN SYRUP, STRAWBERRIES,  SUGAR, RHUBARB JUICE, WATER,  CORN STARCH, CITRIC ACID,  LOCUST BEAN GUM, FRUIT AND  VEGETABLE JUICE (COLOR),  NATURAL FLAVOR], GRAHAM  FLAVORED CRUNCH  [UNENRICHED WHEAT FLOUR,  MARGARINE (PALM OIL, WATER,  SOYBEAN OIL, SALT, MONO-AND  DIGLYCERIDES, ANNATTO  (COLOR), CALCIUM DISODIUM  EDTA {PRESERVATIVE}, ARTIFICIAL  BUTTER FLAVOR, VITAMIN A  PALMITATE), SUGAR, BROWN  SUGAR, PALM OIL, HONEY  POWDER (HONEY, HIGH  FRUCTOSE CORN SYRUP, WHEAT  STARCH, CORN SYRUP, SOY  FLOUR, CALCIUM STEARATE {TO  PREVENT CAKING}, WATER,  ARTIFICIAL AND NATURAL  FLAVORS, SALT, BAKING SODA],  CORN SYRUP, WHEY, STABILIZER  [MONO & DIGLYCERIDES, GUAR  GUM, LOCUST BEAN GUM,  CARRAGEENAN], FLAVOR  [VANILLA EXTRACT, ARTIFICIAL  FLAVOR], SEA SALT. ","Milk, Soy, Wheat",72,2/3 cup (97g),220,,11g,,14%,,7g,,35%,,0g,,0%,,25mg,,0%,,105mg,,0%,,29g,,0%,,0g,,0%,,21g,,0g,,0%,,0g,,0%,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,x,,x,,,,x
PB & J,3 Gallon,Peanut Butter ice cream swirled with Grape Jelly,"NONFAT MILK,  CREAM, BUTTERMILK, GRAPE  SWIRL [WATER, GRAPE JUICE  CONCENTRATE,SUGAR,CORN  SYRUP, MODIFIED CORN STARCH,  CONTAINS 2% OR LESS OF  NATURAL FLAVOR, CITRIC ACID,  TARTARIC ACID, SALT, MALICACID,  XANTHAN GUM], SUGAR, PEANUT  BUTTER BASE [ROASTED  PEANUTS, SUGAR, PEANUT OIL,  SALT], CORN SYRUP, WHEY,  STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT  ","Milk, Peanuts",72,2/3 cup (94g),230,,13g,,17%,,6g,,30%,,0g,,0%,,25mg,,0%,,140mg,,0%,,25g,,0%,,1g,,0%,,20g,,0g,,0%,,0g,,0%,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,
Raspberry Waffle Cone,3 Gallon,Chocolate Covered Waffle Cone pieces blended in Vanilla ice cream with a Rasberry Swirl,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  RED RASPBERRY SWIRL [CORN  SYRUP, RASPBERRY PUREE,  SUGAR, HIGH FRUCTOSE CORN  SYRUP, WATER, PECTIN, MALIC  ACID, LOCUST BEAN GUM,  NATURAL FLAVOR, CITRIC ACID,  CALCIUM LACTATE, SODIUM  CITRATE], CONE PIECES [SUGAR,  DRUMSTICK BISQUE (BLEACHED  WHEAT FLOUR, SUGAR,  CONTAINS 2% OR LESS OF  VEGETABLE SHORTENING
{SOYBEAN OIL, PALM OIL, SOY  LECITHIN}, SALT, CARAMEL  COLOR, ARTIFICIAL FLAVOR),  COCONUT OIL, CHOCOLATE  LIQUOR, BUTTERMILK POWDER,  SKIM MILK POWDER, SALT,  NATURAL FLAVOR], CORN SYRUP,  WHEY, STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], FLAVOR  [VANILLA EXTRACT, ARTIFICIAL  FLAVOR], SEA SALT. ","Milk, Soy, Wheat",72,2/3 cup (96g),220,,11g,,14%,,8g,,40%,,0g,,0%,,25mg,,0%,,80mg,,0%,,28g,,0%,,0g,,0%,,23g,,0g,,0%,,0g,,0%,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,x,,,x,,,,x
Blue Angel,3 Gallon,Blue Moon and Angel Food Cake ice cream swirled together and sprinkled with cake pieces,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  ANGEL FOOD CAKE FLAVOR  [CORN SYRUP, WATER, EGG  WHITES, WHOLE MILK POWDER,  CORN STARCH - MODIFIED,  NATURAL FLAVOR, SALT, ANNATTO  (COLOR)], CORN SYRUP, POUND  CAKE PIECES [ENRICHED FLOUR  (WHEAT FLOUR, NIACIN,  REDUCED IRON, THIAMINE  MONONITRATE, RIBOFLAVIN,  FOLIC ACID), SUGAR, BUTTER  (CREAM, SALT), BROWN SUGAR  (SUGAR, CANE SYRUPS), PALM  OIL, WATER, EGGS, NATURAL  FLAVOR], WHEY, STABILIZER  [MONO & DIGLYCERIDES, GUAR  GUM, LOCUST BEAN GUM,  CARRAGEENAN], NATURAL AND  ARTIFICIAL FLAVORS, BLUE 1  (COLOR), SEA SALT","Eggs, Milk, Wheat",72,2/3 cup (95g),210,,10g,,13%,,7g,,35%,,0g,,0%,,30mg,,0%,,80mg,,0%,,25g,,0%,,0g,,0%,,20g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,x,,x,,,,
Road Trip Wisconsin,3 Gallon,"Rich Chocolate ice cream, Walnut pieces, Caramel Ribbon and Cheesecake pieces","NONFAT MILK,  BUTTERMILK, CREAM, SUGAR,  DULCE DE LECHE SWIRL [SUGAR,  CONDENSED SKIM MILK, HIGH  FRUCTOSE CORN SYRUP, WATER,  BUTTER (CREAM, SALT),  COCONUT OIL, CORN SYRUP,  SALT, NATURAL AND ARTIFICIAL  FLAVORING, PECTIN],  CHEESECAKE PIECE [CREAM  CHEESE (MILK AND CREAM,  CHEESE CULTURES, SALT,  STABILIZER {CAROB BEAN GUM,  XANTHAN GUM, GUAR GUM}),  SUGAR, EGGS, GRAHAM CRUMB  (UNBLEACHED, UNENRICHED  WHEAT FLOUR, GRAHAM FLOUR,  SUGAR, PALM OIL, MOLASSES,  HONEY, SALT, SODIUM  BICARBONATE), CORN STARCH,  PALM OIL, NATURAL FLAVOR,  LEMON PEEL], CORN SYRUP,  WALNUTS, COCOA PROCESSED  WITH ALKALI, WHEY, STABILIZER  [GUAR GUM, MONO &  DIGLYCERIDES, XANTHAN GUM,  POLYSORBATE 80,  CARRAGEENAN], SEA SALT.  ","Egg, Milk, Soy, Tree Nuts, Wheat",72,2/3 cup (102g),260,,15g,,19%,,8g,,39%,,0g,,,,35mg,,0%,,110mg,,0%,,28g,,0%,,1g,,0%,,22g,,0g,,0%,,0g,,,,1mg,,0%,,1mg,,0%,,0mg,,0%,,3mg,,0%,,,,x,,,,,,,,,,,x,x,,,,,,x,
Caramel apple,3 Gallon,"Granny Smith Apple ice cream blended with apples, Praline Peanuts and a Caramel Apple Ribbon","NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  GRANNY SMITH FLAVORED  APPLES [SUGAR, APPLES, WATER,  CORN STARCH, CITRIC ACID,  NATURALFLAVOR,XANTHAN  GUM], CARAMEL APPLE SWIRL  [SUGAR, CORN SYRUP, WATER,  SWEETENED CONDENSED SKIM  MILK, FOOD STARCH - MODIFIED,  NATURAL FLAVORS, SALT,  BUTTER, GUM ARABIC, CARAMEL  COLOR, VANILLA EXTRACT],  GRANNY SMITH APPLE FLAVOR  BASE [CORN SYRUP, GRANNY  SMITH APPLE PUREE  CONCENTRATE, APPLE JUICE  CONCENTRATE, WATER, CITRIC  ACID, NATURAL FLAVOR,  SPIRULINA EXTRACT (COLOR),  FRUIT JUICE (COLOR)], CORN  SYRUP, PRALINE PEANUTS  [SUGAR, PEANUTS, BUTTER  (CREAM, SALT), CORN SYRUP,  SALT], WHEY, STABILIZER [MONO  & DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT.  ","Milk, Peanuts",72,2/3 cup (109g),250,,10g,,13%,,6g,,30%,,0g,,,,25mg,,0%,,100mg,,0%,,37g,,0%,,0g,,0%,,31g,,0g,,1%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,x,
Frozen Tundra,3 Gallon,Green Mint flavored ice cream with a chocolate cookie swirl and brownie pieces,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  CHOCOLATE COOKIE CRUMB  SWIRL [SOYBEAN OIL,  POWDERED SUGAR (SUGAR,  CORNSTARCH), CHOCOLATE  COOKIE CRUMB (UNBLEACHED,  UNENRICHED WHEAT FLOUR,  SUGAR, PALM OIL, COCOA  PROCESSED WITH ALKALI, SALT,  BAKING SODA, NATURAL FLAVOR,  SOY LECITHIN), COCOA  PROCESSED WITH ALKALI, SALT,  SOY LECITHIN, NATURAL FLAVOR],  BROWNIE [SUGAR, WHEAT  FLOUR, INTERESTERIFIED  SOYBEAN OIL, LIQUID  PASTEURIZED EGGS, COCOA  PROCESSED WITH ALKALI. RICE  SYRUP, WATER, CORN STARCH,  SOY LECITHIN, SALT, NATURAL  FLAVOR, BAKING SODA, BAKING  POWDER (SODIUM ACID  PYROPHOSPHATE, SODIUM  BICARBONATE, CORN STARCH  AND MONOCALCIUM  PHOSPHATE)], CORN SYRUP,  WHEY, NATURAL FLAVOR,  STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], YELLOW 5  (COLOR), BLUE 1 {COLOR), SEA  SALT.","Egg, Milk, Soy, Wheat",72,2/3 cup (100g),260,,15g,,19%,,8g,,40%,,0g,,,,30mg,,0%,,130mg,,0%,,29g,,0%,,1g,,0%,,22g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,1mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,x,x,,,,x,,
Pumpkin Pie,3 Gallon,Pieces of pie crust blended in Pumpkin flavored ice cream,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  PUMPKIN BASE [PUMPKIN PUREE,  HIGH FRUCTOSE CORN SYRUP,  SUGAR, SWEETENED  CONDENSED SKIM MILK, WATER,  EGG YOLKS, NATURAL FLAVORS,  ANNATTO EXTRACT (COLOR),  CINNAMON, CARAMEL COLOR,  NUTMEG, RED 40], SHORTBREAD  [UNENRICHED WHEAT FLOUR,  SUGAR, PALM OIL, COCONUT OIL,  BUTTER (CREAM, SALT), WATER,  PASTEURIZED EGGS, SALT], CORN  SYRUP, WHEY, STABILIZER [MONO  & DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], NATURAL AND  ARTIFICIAL FLAVORS, CARAMEL  COLOR, SEA SALT","Eggs, Milk, Wheat",72,2/3 cup (92g),220,,11g,,14%,,7g,,35%,,0g,,,,25mg,,0%,,70mg,,0%,,28g,,0%,,0g,,0%,,21g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,x,,,,,,
Cinnamon,3 Gallon,Cinnamon flavored ice cream,"Nonfat Milk, Cream,  Buttermilk, Sugar, Corn Syrup, Whey,  Natural and Artifical Flavor, Gum
Tragacanth, Cinnamon, Mono- and  Diglycerides, Guar Gum, Cellulose  Gum, Carrageenan, Caramel Color,  Salt.",Milk,96,1/2 cup (65g),130,,7g,,11%,,5g,,25%,,0g,,,,20mg,,0%,,55mg,,0%,,15g,,0%,,0g,,0%,,15g,,,,,,0g,,,,,,,,0mg,,,,0mg,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
Peppermint Stick,3 Gallon,Peppermint flavored ice cream with Red and Green Peppermint Candy,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  PEPPERMINT FLAKE [SUGAR,  CORN SYRUP, PALM KERNEL OIL
(PALM KERNEL OIL, SOY  LECITHIN), COCONUT OIL, RED 40,  PEPPERMINT OIL, TURMERIC  (COLOR), BLUE 1 (COLOR),  EXTRACTIVES OF TURMERIC)],  CORN SYRUP, WHEY, STABILIZER  [MONO & DIGLYCERIDES, GUAR  GUM, LOCUST BEAN GUM,  CARRAGEENAN], NATURAL  FLAVOR, SEA SALT","Milk, Soy",72,2/3 cup (91g),200,,11g,,14%,,7g,,35%,,0g,,,,25mg,,0%,,65mg,,0%,,24g,,0%,,0g,,0%,,20g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,,,x,,
Egg Nog,3 Gallon,Egg Nog flavored ice cream,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  EGG NOG BASE [CORN SYRUP,  PASTEURIZED SUGARED EGG  YOLKS, NATURAL AND ARTIFICIAL  FLAVORS, WATER, SPICE, SALT,  ANNATTO (COLOR), TURMERIC  (COLOR)], CORN SYRUP, WHEY,  STABILIZER [MONO AND  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT.  ","Milk, Eggs",72,2/3 cup (88g),190,,10g,,13%,,6g,,30%,,0g,,,,60mg,,0%,,80mg,,0%,,22g,,0%,,0g,,0%,,18g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,,,,,
Butter Pecan RF NSA,3 Gallon,Butter Pecan flavored ice cream blended with pecans,"NONFAT MILK,  CREAM, STABILIZER  [POLYDEXTROSE,  MALTODEXTRIN, SORBITOL, GUAR  GUM, MONO & DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN],  MALTODEXTRIN, PECANS  [PECANS, COCONUT OIL, BUTTER,  SALT], WHEY, BUTTER PECAN  FLAVOR [NATURAL FLAVOR,  WATER, SALT, SOY SAUCE,  SUGAR], VANILLA EXTRACT,  ARTIFICIAL FLAVOR, SUCRALOSE,  ANNATTO EXTRACT (COLOR).","MILK, TREENUTS  (PECANS), SOY.",72,2/3 cup (92g),170,,10g,,13%,,4g,,20%,,0g,,,,15mg,,0%,,170mg,,0%,,22g,,0%,,4g,,0%,,7g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,x,,,,,,,,,,,x,
